month_and_year,gas_price,,,
1992 January,1.022,,,
1992 February,1.006,,,
1992 March,1.013,,,
1992 April,1.052,,,
1992 May,1.107,,,
1992 June,1.145,,,
1992 July,1.137,,,
1992 August,1.122,,,
1992 September,1.122,,,
1992 October,1.114,,,
1992 November,1.111,,,
1992 December,1.078,,,
1993 January,1.062,,,
1993 February,1.054,,,
1993 March,1.052,,,
1993 April,1.078,,,
1993 May,1.1,,,
1993 June,1.097,,,
1993 July,1.078,,,
1993 August,1.062,,,
1993 September,1.05,,,
1993 October,1.092,,,
1993 November,1.066,,,
1993 December,1.014,,,
1994 January,0.998,,,
1994 February,1.009,,,
1994 March,1.008,,,
1994 April,1.027,,,
1994 May,1.047,,,
1994 June,1.078,,,
1994 July,1.106,,,
1994 August,1.155,,,
1994 September,1.144,,,
1994 October,1.114,,,
1994 November,1.11,,,
1994 December,1.06,,,
1995 January,1.066,,,
1995 February,1.058,,,
1995 March,1.059,,,
1995 April,1.104,,,
1995 May,1.172,,,
1995 June,1.186,,,
1995 July,1.148,,,
1995 August,1.12,,,
1995 September,1.108,,,
1995 October,1.082,,,
1995 November,1.058,,,
1995 December,1.066,,,
1996 January,1.084,,,
1996 February,1.082,,,
1996 March,1.129,,,
1996 April,1.22,,,
1996 May,1.263,,,
1996 June,1.243,,,
1996 July,1.215,,,
1996 August,1.199,,,
1996 September,1.2,,,
1996 October,1.204,,,
1996 November,1.235,,,
1996 December,1.233,,,
1997 January,1.231,,,
1997 February,1.224,,,
1997 March,1.197,,,
1997 April,1.188,,,
1997 May,1.191,,,
1997 June,1.189,,,
1997 July,1.167,,,
1997 August,1.213,,,
1997 September,1.216,,,
1997 October,1.182,,,
1997 November,1.158,,,
1997 December,1.119,,,
1998 January,1.075,,,
1998 February,1.042,,,
1998 March,1.014,,,
1998 April,1.024,,,
1998 May,1.049,,,
1998 June,1.048,,,
1998 July,1.039,,,
1998 August,1.011,,,
1998 September,0.994,,,
1998 October,1.006,,,
1998 November,0.979,,,
1998 December,0.923,,,
1999 January,0.917,,,
1999 February,0.9,,,
1999 March,0.961,,,
1999 April,1.099,,,
1999 May,1.103,,,
1999 June,1.095,,,
1999 July,1.138,,,
1999 August,1.199,,,
1999 September,1.239,,,
1999 October,1.23,,,
1999 November,1.24,,,
1999 December,1.261,,,
2000 January,1.279,,,
2000 February,1.371,,,
2000 March,1.498,,,
2000 April,1.437,,,
2000 May,1.456,,,
2000 June,1.612,,,
2000 July,1.529,,,
2000 August,1.439,,,
2000 September,1.525,,,
2000 October,1.508,,,
2000 November,1.495,,,
2000 December,1.418,,,
2001 January,1.427,,,
2001 February,1.431,,,
2001 March,1.384,,,
2001 April,1.517,,,
2001 May,1.654,,,
2001 June,1.548,,,
2001 July,1.34,,,
2001 August,1.386,,,
2001 September,1.506,,,
2001 October,1.274,,,
2001 November,1.139,,,
2001 December,1.072,,,
2002 January,1.094,,,
2002 February,1.09,,,
2002 March,1.221,,,
2002 April,1.362,,,
2002 May,1.353,,,
2002 June,1.341,,,
2002 July,1.364,,,
2002 August,1.358,,,
2002 September,1.363,,,
2002 October,1.427,,,
2002 November,1.385,,,
2002 December,1.348,,,
2003 January,1.424,,,
2003 February,1.582,,,
2003 March,1.636,,,
2003 April,1.517,,,
2003 May,1.438,,,
2003 June,1.452,,,
2003 July,1.48,,,
2003 August,1.588,,,
2003 September,1.616,,,
2003 October,1.513,,,
2003 November,1.474,,,
2003 December,1.448,,,
2004 January,1.555,,,
2004 February,1.615,,,
2004 March,1.689,,,
2004 April,1.756,,,
2004 May,1.945,,,
2004 June,1.91,,,
2004 July,1.863,,,
2004 August,1.842,,,
2004 September,1.841,,,
2004 October,1.954,,,
2004 November,1.932,,,
2004 December,1.8,,,
2005 January,1.811,,,
2005 February,1.886,,,
2005 March,2.063,,,
2005 April,2.211,,,
2005 May,2.114,,,
2005 June,2.123,,,
2005 July,2.247,,,
2005 August,2.449,,,
2005 September,2.862,,,
2005 October,2.689,,,
2005 November,2.222,,,
2005 December,2.174,,,
2006 January,2.3,,,
2006 February,2.249,,,
2006 March,2.413,,,
2006 April,2.719,,,
2006 May,2.831,,,
2006 June,2.808,,,
2006 July,2.923,,,
2006 August,2.91,,,
2006 September,2.501,,,
2006 October,2.214,,,
2006 November,2.211,,,
2006 December,2.284,,,
2007 January,2.191,,,
2007 February,2.235,,,
2007 March,2.503,,,
2007 April,2.787,,,
2007 May,3.119,,,
2007 June,3.024,,,
2007 July,2.947,,,
2007 August,2.777,,,
2007 September,2.817,,,
2007 October,2.791,,,
2007 November,3.064,,,
2007 December,2.984,,,
2008 January,3.018,,,
2008 February,3.016,,,
2008 March,3.215,,,
2008 April,3.421,,,
2008 May,3.735,,,
2008 June,3.989,,,
2008 July,4.002,,,
2008 August,3.74,,,
2008 September,3.709,,,
2008 October,3.01,,,
2008 November,2.099,,,
2008 December,1.669,,,
2009 January,1.772,,,
2009 February,1.892,,,
2009 March,1.937,,,
2009 April,2.021,,,
2009 May,2.24,,,
2009 June,2.597,,,
2009 July,2.478,,,
2009 August,2.562,,,
2009 September,2.48,,,
2009 October,2.5,,,
2009 November,2.614,,,
2009 December,2.568,,,
2010 January,2.678,,,
2010 February,2.603,,,
2010 March,2.742,,,
2010 April,2.818,,,
2010 May,2.795,,,
2010 June,2.684,,,
2010 July,2.679,,,
2010 August,2.683,,,
2010 September,2.678,,,
2010 October,2.766,,,
2010 November,2.815,,,
2010 December,2.951,,,
2011 January,3.058,,,
2011 February,3.168,,,
2011 March,3.509,,,
2011 April,3.746,,,
2011 May,3.849,,,
2011 June,3.628,,,
2011 July,3.614,,,
2011 August,3.612,,,
2011 September,3.573,,,
2011 October,3.4,,,
2011 November,3.33,,,
2011 December,3.22,,,
2012 January,3.33,,,
2012 February,3.517,,,
2012 March,3.774,,,
2012 April,3.837,,,
2012 May,3.643,,,
2012 June,3.465,,,
2012 July,3.379,,,
2012 August,3.668,,,
2012 September,3.801,,,
2012 October,3.653,,,
2012 November,3.38,,,
2012 December,3.256,,,
2013 January,3.255,,,
2013 February,3.605,,,
2013 March,3.648,,,
2013 April,3.501,,,
2013 May,3.565,,,
2013 June,3.576,,,
